timestamp,model_name,num_iterations,lambda,batch_size,learning_rate,train_loss,test_set_accuracy,validation_set_accuracy,test_loss
2025-01-08 10:29:30.957868,hadamard_1,1,0.022089,128,0.0014686,"tensor(1.5174, device='cuda:0')",94.86,96.23333333333333,0.004747831504136218
2025-01-08 10:30:58.228982,hadamard_2,2,0.022089,128,0.0014686,"tensor(5.7135, device='cuda:0')",94.88,95.53333333333333,0.007260662026090335
2025-01-08 10:32:29.328688,hadamard_3,3,0.022089,128,0.0014686,"tensor(14.3909, device='cuda:0')",94.19,94.48333333333333,0.009415943623532224
2025-01-08 10:34:04.549706,hadamard_4,4,0.022089,128,0.0014686,"tensor(1.1348e+17, device='cuda:0')",8.75,9.416666666666666,2.118596310102487
2025-01-08 10:35:44.733514,hadamard_5,5,0.022089,128,0.0014686,"tensor(3.6713e+11, device='cuda:0')",18.63,18.683333333333334,0.2572846046731442
2025-01-08 10:37:28.084172,hadamard_6,6,0.022089,128,0.0014686,"tensor(inf, device='cuda:0')",15.92,16.133333333333333,0.2634491961968096
2025-01-08 10:39:15.382588,hadamard_7,7,0.022089,128,0.0014686,"tensor(nan, device='cuda:0')",9.8,10.3,
2025-01-08 10:41:06.682683,hadamard_8,8,0.022089,128,0.0014686,"tensor(nan, device='cuda:0')",9.8,10.3,
2025-01-08 10:43:02.171971,hadamard_9,9,0.022089,128,0.0014686,"tensor(nan, device='cuda:0')",9.8,10.3,
2025-01-08 10:45:01.160203,hadamard_10,10,0.022089,128,0.0014686,"tensor(nan, device='cuda:0')",9.8,10.3,
